Date,Open,High,Low,Close,Adj Close,Volume,Epic
07/08/2015,2.83162,2.52112,3.53661,2.77212,2.77212,16432900,ETHUSD
10/08/2015,0.713989,0.636546,0.729854,0.708448,0.708448,40528300,ETHUSD
11/08/2015,0.708087,0.663235,1.13141,1.06786,1.06786,146310000,ETHUSD
12/08/2015,1.05875,0.883608,1.28994,1.21744,1.21744,215062000,ETHUSD
13/08/2015,1.22224,1.17199,1.96507,1.82767,1.82767,406868000,ETHUSD
14/08/2015,1.81092,1.75475,2.26188,1.82787,1.82787,463703000,ETHUSD
17/08/2015,1.58119,1.18534,1.58119,1.20361,1.20361,194283000,ETHUSD
18/08/2015,1.2153,1.08705,1.33116,1.08705,1.08705,148568000,ETHUSD
19/08/2015,1.16693,1.16693,1.31799,1.25886,1.25886,148624000,ETHUSD
20/08/2015,1.25118,1.24833,1.5333,1.46492,1.46492,284376000,ETHUSD
21/08/2015,1.47752,1.3528,1.55642,1.39529,1.39529,202097000,ETHUSD
24/08/2015,1.34559,1.23127,1.36278,1.23127,1.23127,92492000,ETHUSD
25/08/2015,1.22861,1.12865,1.24182,1.14019,1.14019,130718000,ETHUSD
26/08/2015,1.13279,1.06183,1.20248,1.15998,1.15998,105675000,ETHUSD
27/08/2015,1.16981,1.13729,1.18883,1.1477,1.1477,68666200,ETHUSD
28/08/2015,1.14766,1.1205,1.20779,1.19138,1.19138,72187200,ETHUSD
31/08/2015,1.32138,1.20101,1.39615,1.35824,1.35824,144718000,ETHUSD
01/09/2015,1.35348,1.33663,1.39274,1.35161,1.35161,77886200,ETHUSD
02/09/2015,1.35157,1.26462,1.35491,1.29479,1.29479,88376900,ETHUSD
03/09/2015,1.29519,1.21103,1.30999,1.26493,1.26493,70299100,ETHUSD
04/09/2015,1.26493,1.23681,1.30252,1.27441,1.27441,47439100,ETHUSD
07/09/2015,1.2959,1.23785,1.30548,1.24665,1.24665,48901400,ETHUSD
08/09/2015,1.24665,1.23061,1.28238,1.24243,1.24243,42789200,ETHUSD
09/09/2015,1.23935,1.20184,1.26048,1.20651,1.20651,36674800,ETHUSD
10/09/2015,1.20761,1.13615,1.22157,1.16577,1.16577,66278200,ETHUSD
11/09/2015,1.16497,0.940675,1.16907,0.982978,0.982978,194260000,ETHUSD
14/09/2015,0.940566,0.87176,0.949387,0.875622,0.875622,74108500,ETHUSD
15/09/2015,0.875189,0.875189,1.04554,0.94441,0.94441,70339000,ETHUSD
16/09/2015,0.941977,0.901639,0.952698,0.907175,0.907175,61559300,ETHUSD
17/09/2015,0.906865,0.831132,0.909204,0.874231,0.874231,89794000,ETHUSD
18/09/2015,0.874574,0.833908,0.888102,0.853685,0.853685,48462200,ETHUSD
21/09/2015,0.941496,0.878301,0.957326,0.919047,0.919047,42403900,ETHUSD
22/09/2015,0.919337,0.865225,0.919337,0.901796,0.901796,48791400,ETHUSD
23/09/2015,0.90356,0.885136,0.90891,0.893406,0.893406,20054100,ETHUSD
24/09/2015,0.896796,0.79346,0.908571,0.81361,0.81361,84250500,ETHUSD
25/09/2015,0.820031,0.712745,0.825665,0.736223,0.736223,90345700,ETHUSD
28/09/2015,0.723715,0.557062,0.725677,0.582886,0.582886,132089000,ETHUSD
29/09/2015,0.579414,0.558346,0.67583,0.661146,0.661146,91399200,ETHUSD
30/09/2015,0.661192,0.635861,0.746722,0.738644,0.738644,61992600,ETHUSD
01/10/2015,0.734307,0.655906,0.734307,0.690215,0.690215,59608400,ETHUSD
02/10/2015,0.683732,0.654605,0.69112,0.678574,0.678574,21931800,ETHUSD
05/10/2015,0.666784,0.62445,0.674438,0.628643,0.628643,23426300,ETHUSD
06/10/2015,0.622218,0.60623,0.653944,0.650645,0.650645,26267400,ETHUSD
07/10/2015,0.650515,0.602423,0.656301,0.609388,0.609388,21832700,ETHUSD
08/10/2015,0.609501,0.591971,0.633138,0.621716,0.621716,31026600,ETHUSD
09/10/2015,0.655084,0.632116,0.692296,0.650628,0.650628,38642000,ETHUSD
12/10/2015,0.634515,0.62603,0.657789,0.62603,0.62603,10956700,ETHUSD
13/10/2015,0.627943,0.599214,0.63024,0.607655,0.607655,30304400,ETHUSD
14/10/2015,0.61224,0.483974,0.61224,0.522968,0.522968,97166400,ETHUSD
15/10/2015,0.523278,0.51473,0.572714,0.561878,0.561878,37102200,ETHUSD
16/10/2015,0.562593,0.522533,0.568861,0.536495,0.536495,24989100,ETHUSD
19/10/2015,0.517621,0.480994,0.521546,0.489014,0.489014,24374200,ETHUSD
20/10/2015,0.489629,0.431648,0.501898,0.434829,0.434829,38392100,ETHUSD
21/10/2015,0.431589,0.420897,0.482988,0.447329,0.447329,60908500,ETHUSD
22/10/2015,0.444988,0.420991,0.619466,0.567702,0.567702,92482200,ETHUSD
23/10/2015,0.56637,0.504284,0.611743,0.539657,0.539657,87882200,ETHUSD
26/10/2015,0.619743,0.597098,0.757517,0.731317,0.731317,108912000,ETHUSD
27/10/2015,0.70889,0.70889,0.898172,0.869641,0.869641,184637000,ETHUSD
28/10/2015,0.870938,0.807857,1.05579,1.00248,1.00248,237305000,ETHUSD
29/10/2015,1.00525,0.947374,1.20666,1.20666,1.20666,227924000,ETHUSD
30/10/2015,1.2092,0.96816,1.34505,1.04122,1.04122,242920000,ETHUSD
02/11/2015,1.05797,0.953647,1.09979,0.989789,0.989789,114520000,ETHUSD
03/11/2015,0.994568,0.936615,1.07044,1.01336,1.01336,190769000,ETHUSD
04/11/2015,1.01065,0.725665,1.03872,0.89905,0.89905,306034000,ETHUSD
05/11/2015,0.900699,0.860382,0.991259,0.895637,0.895637,117984000,ETHUSD
06/11/2015,0.904772,0.852929,0.989848,0.926032,0.926032,91366600,ETHUSD
09/11/2015,1.03253,0.945263,1.10642,0.999278,0.999278,204529000,ETHUSD
10/11/2015,1.00126,0.920968,1.05304,0.934348,0.934348,85458100,ETHUSD
11/11/2015,0.941296,0.729775,0.945278,0.791829,0.791829,127858000,ETHUSD
12/11/2015,0.796455,0.76351,0.913919,0.895711,0.895711,80615600,ETHUSD
13/11/2015,0.907722,0.846023,0.917309,0.904096,0.904096,54367100,ETHUSD
16/11/2015,0.906166,0.891971,0.944732,0.928962,0.928962,62094500,ETHUSD
17/11/2015,0.924948,0.905794,1.03295,1.00798,1.00798,114544000,ETHUSD
18/11/2015,0.993214,0.940516,1.01157,0.993319,0.993319,68110400,ETHUSD
19/11/2015,0.988713,0.937498,1.00797,0.955532,0.955532,44352800,ETHUSD
20/11/2015,0.955735,0.898576,0.955735,0.92492,0.92492,61433500,ETHUSD
23/11/2015,0.967493,0.93387,0.969057,0.946969,0.946969,44187500,ETHUSD
24/11/2015,0.946442,0.895931,0.948055,0.900191,0.900191,52419500,ETHUSD
25/11/2015,0.893827,0.851106,0.899493,0.863537,0.863537,62299100,ETHUSD
26/11/2015,0.863273,0.80436,0.903643,0.884183,0.884183,94747300,ETHUSD
27/11/2015,0.8821,0.860695,0.900051,0.867951,0.867951,40381300,ETHUSD
30/11/2015,0.879951,0.847696,0.895054,0.873119,0.873119,78443900,ETHUSD
01/12/2015,0.878316,0.853937,0.886736,0.8748,0.8748,65285700,ETHUSD
02/12/2015,0.873171,0.818924,0.878017,0.82121,0.82121,50630700,ETHUSD
03/12/2015,0.818546,0.785086,0.837664,0.812143,0.812143,53996900,ETHUSD
04/12/2015,0.812082,0.802373,0.859575,0.840041,0.840041,24127800,ETHUSD
07/12/2015,0.836322,0.78765,0.850791,0.811264,0.811264,52040900,ETHUSD
08/12/2015,0.806024,0.782328,0.823645,0.822118,0.822118,44590300,ETHUSD
09/12/2015,0.824454,0.770488,0.824454,0.792167,0.792167,62422100,ETHUSD
10/12/2015,0.79559,0.787291,0.86159,0.840396,0.840396,36958900,ETHUSD
11/12/2015,0.839995,0.819789,0.929762,0.929762,0.929762,80107200,ETHUSD
14/12/2015,0.95662,0.950178,1.0131,0.993022,0.993022,56343600,ETHUSD
15/12/2015,0.990589,0.98224,1.02884,1.01415,1.01415,57861800,ETHUSD
16/12/2015,1.01711,0.974927,1.01803,0.991182,0.991182,32076700,ETHUSD
17/12/2015,0.993043,0.911807,0.997611,0.940701,0.940701,64076500,ETHUSD
18/12/2015,0.938327,0.908081,0.939493,0.920127,0.920127,30078700,ETHUSD
21/12/2015,0.906065,0.891182,0.91739,0.900771,0.900771,54911300,ETHUSD
22/12/2015,0.894973,0.862059,0.909526,0.864202,0.864202,45424900,ETHUSD
23/12/2015,0.861782,0.856065,0.88294,0.858077,0.858077,33499300,ETHUSD
24/12/2015,0.859433,0.8476,0.882818,0.863262,0.863262,35464600,ETHUSD
25/12/2015,0.861993,0.861993,0.882556,0.870363,0.870363,18711400,ETHUSD
28/12/2015,0.856356,0.832932,0.872394,0.845005,0.845005,23513400,ETHUSD
29/12/2015,0.843835,0.833232,0.873054,0.873054,0.873054,21574200,ETHUSD
30/12/2015,0.874258,0.866647,0.941099,0.911958,0.911958,60407800,ETHUSD
31/12/2015,0.912098,0.910277,0.975414,0.933542,0.933542,66399400,ETHUSD
01/01/2016,0.933712,0.931442,0.954822,0.948024,0.948024,20606200,ETHUSD
04/01/2016,0.972045,0.929835,0.976438,0.95448,0.95448,34624500,ETHUSD
05/01/2016,0.953147,0.946543,0.970597,0.950176,0.950176,21983300,ETHUSD
06/01/2016,0.950028,0.935708,0.960659,0.95086,0.95086,30879100,ETHUSD
07/01/2016,0.955801,0.93583,0.974623,0.942005,0.942005,64746200,ETHUSD
08/01/2016,0.942752,0.939715,0.991825,0.986789,0.986789,54560000,ETHUSD
11/01/2016,0.999216,0.999216,1.06991,1.0616,1.0616,101192000,ETHUSD
12/01/2016,1.0661,1.05009,1.28283,1.141,1.141,289876000,ETHUSD
13/01/2016,1.13547,1.07703,1.15218,1.1252,1.1252,100591000,ETHUSD
14/01/2016,1.1221,1.10319,1.18959,1.18959,1.18959,75196100,ETHUSD
15/01/2016,1.18444,1.14293,1.31938,1.20801,1.20801,391055000,ETHUSD
18/01/2016,1.33231,1.32222,1.5429,1.42634,1.42634,427893000,ETHUSD
19/01/2016,1.42261,1.30501,1.46469,1.37139,1.37139,244674000,ETHUSD
20/01/2016,1.36318,1.35371,1.61924,1.53182,1.53182,293322000,ETHUSD
21/01/2016,1.5327,1.48669,1.58549,1.55357,1.55357,161496000,ETHUSD
22/01/2016,1.54703,1.46588,1.58146,1.50127,1.50127,156724000,ETHUSD
25/01/2016,2.14764,2.05614,2.66258,2.49927,2.49927,1073930000,ETHUSD
26/01/2016,2.53274,1.99477,2.83699,2.27637,2.27637,1393920000,ETHUSD
27/01/2016,2.24744,2.18865,2.59494,2.38855,2.38855,696108000,ETHUSD
28/01/2016,2.40645,2.34203,2.68467,2.52649,2.52649,490385000,ETHUSD
29/01/2016,2.54298,2.3039,2.60677,2.49496,2.49496,666234000,ETHUSD
01/02/2016,2.31969,2.11631,2.31969,2.21169,2.21169,399410000,ETHUSD
02/02/2016,2.21519,2.1572,2.44898,2.43964,2.43964,345127000,ETHUSD
03/02/2016,2.43193,2.34162,2.54017,2.52869,2.52869,398775000,ETHUSD
04/02/2016,2.52903,2.43646,2.62954,2.57804,2.57804,355232000,ETHUSD
05/02/2016,2.57035,2.47092,2.60618,2.53899,2.53899,263670000,ETHUSD
08/02/2016,2.973,2.87537,3.27428,3.17979,3.17979,972569000,ETHUSD
09/02/2016,3.17499,3.16875,4.04464,4.04464,4.04464,1795400000,ETHUSD
10/02/2016,4.00055,3.7831,4.86144,4.43626,4.43626,2864040000,ETHUSD
11/02/2016,4.49682,4.3383,6.29223,6.0131,6.0131,2640820000,ETHUSD
12/02/2016,5.94615,5.07076,6.58275,5.54698,5.54698,2336080000,ETHUSD
15/02/2016,5.33053,5.01856,5.886991,5.28835,5.28835,1393420000,ETHUSD
16/02/2016,5.32832,4.03384,5.47486,4.31529,4.31529,1588910000,ETHUSD
17/02/2016,4.28917,3.49737,4.76707,3.75724,3.75724,1545100000,ETHUSD
18/02/2016,3.7747,3.42088,4.77057,4.39913,4.39913,1705400000,ETHUSD
19/02/2016,4.38479,4.27469,4.79322,4.73789,4.73789,766632000,ETHUSD
22/02/2016,4.66495,4.63525,5.64571,5.6165,5.6165,1505620000,ETHUSD
23/02/2016,5.68493,5.38782,5.94764,5.58621,5.58621,1338060000,ETHUSD
24/02/2016,5.60405,5.50925,6.23647,6.23647,6.23647,1142650000,ETHUSD
25/02/2016,6.18671,5.55124,6.647409,6.1048,6.1048,2147180000,ETHUSD
26/02/2016,6.037829,5.73905,6.26875,5.92167,5.92167,952686000,ETHUSD
29/02/2016,6.45565,6.05429,6.614511,6.33699,6.33699,764802000,ETHUSD
01/03/2016,6.31931,6.30885,7.908639,7.65369,7.65369,2309810000,ETHUSD
02/03/2016,7.633029,7.3713,8.75346,8.46539,8.46539,2913020000,ETHUSD
03/03/2016,8.44229,8.33203,10.0974,9.29415,9.29415,4031490000,ETHUSD
04/03/2016,9.24056,8.47942,10.406,10.406,10.406,3552010000,ETHUSD
07/03/2016,11.4288,9.30949,11.6519,9.55263,9.55263,3408510000,ETHUSD
08/03/2016,9.58214,8.81577,10.1664,9.84721,9.84721,2552430000,ETHUSD
09/03/2016,9.79242,9.67099,12.0547,11.898,11.898,2754050000,ETHUSD
10/03/2016,11.8815,10.9911,12.2393,11.305,11.305,2685150000,ETHUSD
11/03/2016,11.2216,10.3937,11.5999,11.0828,11.0828,2100270000,ETHUSD
14/03/2016,14.5122,11.5821,15.013,12.4526,12.4526,5838510000,ETHUSD
15/03/2016,13.0017,12.0468,13.1978,13.01,13.01,2840450000,ETHUSD
16/03/2016,13.0216,12.4954,13.7307,12.520901,12.520901,2433550000,ETHUSD
17/03/2016,12.5587,10.4426,12.643501,11.0815,11.0815,4165060000,ETHUSD
18/03/2016,11.1091,8.52452,11.1788,10.9981,10.9981,5395680000,ETHUSD
21/03/2016,10.3037,10.1616,12.0149,11.8641,11.8641,2857260000,ETHUSD
22/03/2016,11.8792,11.177,12.0252,11.2748,11.2748,1973030000,ETHUSD
23/03/2016,11.3279,11.2371,12.4326,12.4167,12.4167,1935320000,ETHUSD
24/03/2016,12.4422,10.8035,12.5016,11.235,11.235,2608180000,ETHUSD
25/03/2016,11.2603,10.5272,11.3729,10.7432,10.7432,1378200000,ETHUSD
28/03/2016,10.4314,10.4075,11.8613,11.6656,11.6656,2318830000,ETHUSD
29/03/2016,11.7527,11.3498,11.9136,11.6564,11.6564,1768420000,ETHUSD
30/03/2016,11.6053,11.4692,12.1785,11.9529,11.9529,1935120000,ETHUSD
31/03/2016,11.9198,11.3157,12.0119,11.4035,11.4035,1496670000,ETHUSD
01/04/2016,11.4006,11.4006,11.8504,11.663599,11.663599,1137310000,ETHUSD
04/04/2016,11.615799,11.0163,11.615799,11.1573,11.1573,959907000,ETHUSD
05/04/2016,11.2125,10.1347,11.2125,10.4381,10.4381,2055730000,ETHUSD
06/04/2016,10.4498,10.2773,10.97,10.6854,10.6854,1699710000,ETHUSD
07/04/2016,10.6952,9.95363,10.8097,10.0697,10.0697,1346450000,ETHUSD
08/04/2016,10.0774,9.65558,10.3875,9.71959,9.71959,1466060000,ETHUSD
11/04/2016,8.94278,8.00318,8.94664,8.64379,8.64379,1513810000,ETHUSD
12/04/2016,8.63947,7.15416,8.63947,7.44231,7.44231,2319010000,ETHUSD
13/04/2016,7.44136,7.06922,8.71977,8.04442,8.04442,3140330000,ETHUSD
14/04/2016,8.07517,8.02152,8.75704,8.38724,8.38724,1359070000,ETHUSD
15/04/2016,8.38606,8.09733,8.6162,8.24278,8.24278,1217900000,ETHUSD
18/04/2016,9.33273,8.49687,9.50666,9.036,9.036,2108410000,ETHUSD
19/04/2016,9.07533,8.59546,9.30624,8.71488,8.71488,1289910000,ETHUSD
20/04/2016,8.68819,8.31376,8.82539,8.46579,8.46579,1563470000,ETHUSD
21/04/2016,8.45346,7.96222,8.72183,8.10217,8.10217,1335540000,ETHUSD
22/04/2016,8.14992,7.66848,8.27232,7.821259,7.821259,1330930000,ETHUSD
25/04/2016,8.00777,7.236509,8.0946,7.55434,7.55434,1823990000,ETHUSD
26/04/2016,7.52655,7.05898,7.55182,7.39704,7.39704,1766730000,ETHUSD
27/04/2016,7.38839,7.31969,7.96774,7.75997,7.75997,1925450000,ETHUSD
28/04/2016,7.74069,7.1664,7.91307,7.172531,7.172531,1157600000,ETHUSD
29/04/2016,7.20703,7.17189,7.73096,7.45729,7.45729,876208000,ETHUSD
02/05/2016,8.89424,8.85072,10.3215,10.1632,10.1632,4101920000,ETHUSD
03/05/2016,10.1651,9.2798,10.1651,9.31127,9.31127,2146390000,ETHUSD
04/05/2016,9.38287,9.26752,10.0341,9.41377,9.41377,1762240000,ETHUSD
05/05/2016,9.39673,9.29212,10.046,9.8261,9.8261,1829620000,ETHUSD
06/05/2016,9.80961,9.03701,9.95219,9.34664,9.34664,2151060000,ETHUSD
09/05/2016,9.49404,9.2037,9.64116,9.29773,9.29773,1308530000,ETHUSD
10/05/2016,9.28265,9.26136,9.47902,9.36152,9.36152,932179000,ETHUSD
11/05/2016,9.43143,9.38926,10.0119,9.99628,9.99628,1526750000,ETHUSD
12/05/2016,9.99511,9.85641,10.5063,10.0578,10.0578,2413770000,ETHUSD
13/05/2016,10.0623,10.0184,11.0528,10.5066,10.5066,3127690000,ETHUSD
16/05/2016,9.9687,9.9687,11.4403,11.1713,11.1713,2907990000,ETHUSD
17/05/2016,11.1932,11.1526,12.487,12.1988,12.1988,3719870000,ETHUSD
18/05/2016,12.1793,12.1793,14.259,13.5586,13.5586,6538990000,ETHUSD
19/05/2016,13.542799,13.337599,14.872801,14.7697,14.7697,5375750000,ETHUSD
20/05/2016,14.853199,13.384201,15.048201,13.635599,13.635599,5054410000,ETHUSD
23/05/2016,14.2798,13.1922,14.4924,13.4615,13.4615,2384280000,ETHUSD
24/05/2016,13.3054,12.0141,13.7743,12.7323,12.7323,4156060000,ETHUSD
25/05/2016,12.7932,11.7666,12.898401,12.526,12.526,2744470000,ETHUSD
26/05/2016,12.5161,12.0592,12.9866,12.4304,12.4304,2076400000,ETHUSD
27/05/2016,12.3894,10.5027,12.3894,11.2958,11.2958,5749640000,ETHUSD
