Date,Open,High,Low,Close,Adj Close,Volume,Epic
02/03/2015,184.645004,184.889999,184.139999,184.593002,184.593002,0,GBPJPY
03/03/2015,184.589996,184.589996,183.707001,184.619003,184.619003,0,GBPJPY
04/03/2015,183.781006,183.964996,182.667999,183.817993,183.817993,0,GBPJPY
05/03/2015,182.582993,183.619003,182.389999,182.610001,182.610001,0,GBPJPY
06/03/2015,183.039993,183.106003,182.029999,183.035004,183.035004,0,GBPJPY
09/03/2015,181.716003,183.013,181.636002,181.792007,181.792007,0,GBPJPY
10/03/2015,183.434006,183.860001,182.440002,183.371994,183.371994,0,GBPJPY
11/03/2015,182.5,183.119995,181.300003,182.479996,182.479996,0,GBPJPY
12/03/2015,181.365005,181.742996,180.598007,181.339005,181.339005,0,GBPJPY
13/03/2015,180.634995,180.740005,178.5,180.630005,180.630005,0,GBPJPY
16/03/2015,179,179.598007,178.889999,179.018005,179.018005,0,GBPJPY
17/03/2015,179.927994,180.095001,178.567993,179.916,179.916,0,GBPJPY
18/03/2015,178.901993,179.154007,177.156006,178.934006,178.934006,0,GBPJPY
19/03/2015,179.574005,179.882996,178,179.591003,179.591003,0,GBPJPY
20/03/2015,178.190002,179.787994,177.936996,178.225006,178.225006,0,GBPJPY
23/03/2015,179.261993,179.324997,178.139999,179.328995,179.328995,0,GBPJPY
24/03/2015,179.037994,179.194,177.742004,179.031006,179.031006,0,GBPJPY
25/03/2015,177.651993,178.354004,177.649994,177.697998,177.697998,0,GBPJPY
26/03/2015,177.811005,177.839996,176.468002,177.794006,177.794006,0,GBPJPY
27/03/2015,177.041,177.880005,176.701996,177.029999,177.029999,0,GBPJPY
30/03/2015,177.440002,177.929001,176.679001,177.481995,177.481995,0,GBPJPY
31/03/2015,177.682007,178.307999,177.100998,177.699997,177.699997,0,GBPJPY
01/04/2015,177.869995,178.373001,176.779999,177.972,177.972,0,GBPJPY
02/04/2015,177.335007,177.729004,176.753006,177.386993,177.386993,0,GBPJPY
03/04/2015,177.483002,177.697006,177.098007,177.5,177.5,0,GBPJPY
06/04/2015,177.363007,178.272003,177.244995,177.380005,177.380005,0,GBPJPY
07/04/2015,177.889008,179.158005,177.804993,177.884995,177.884995,0,GBPJPY
08/04/2015,178.272995,179.263,177.634003,178.287003,178.287003,0,GBPJPY
09/04/2015,178.619995,179.072998,177.237,178.639999,178.639999,0,GBPJPY
10/04/2015,177.399994,177.5,175.684998,177.369995,177.369995,0,GBPJPY
13/04/2015,175.921997,176.514008,175.380005,175.970001,175.970001,0,GBPJPY
14/04/2015,176.091003,176.563004,174.867996,176.095001,176.095001,0,GBPJPY
15/04/2015,176.464996,176.643005,175.675003,176.447006,176.447006,0,GBPJPY
16/04/2015,176.617004,177.919998,176.593002,176.664001,176.664001,0,GBPJPY
17/04/2015,177.679993,178.710999,177.434998,177.651993,177.651993,0,GBPJPY
20/04/2015,177.778,178.179001,177.195999,177.796997,177.796997,0,GBPJPY
21/04/2015,177.746002,178.686996,177.488998,177.695007,177.695007,0,GBPJPY
22/04/2015,178.615997,180.337997,178.468002,178.619003,178.619003,0,GBPJPY
23/04/2015,180.339996,180.414993,179.345993,180.350006,180.350006,0,GBPJPY
24/04/2015,179.934006,180.979996,179.656998,179.929993,179.929993,0,GBPJPY
27/04/2015,180.449997,181.496994,180.309998,180.434998,180.434998,0,GBPJPY
28/04/2015,181.319,182.195007,180.695007,181.339996,181.339996,0,GBPJPY
29/04/2015,182.192001,184.028,182.098007,182.199997,182.199997,0,GBPJPY
30/04/2015,183.505997,184.117996,182.604996,183.520004,183.520004,0,GBPJPY
01/05/2015,183.410004,184.425995,181.830994,183.406006,183.406006,0,GBPJPY
04/05/2015,181.992996,182.110992,181.466995,181.931,181.931,0,GBPJPY
05/05/2015,181.610001,182.688995,181.449997,181.610992,181.610992,0,GBPJPY
06/05/2015,181.899994,182.496994,181.459,181.917007,181.917007,0,GBPJPY
07/05/2015,181.955002,182.356003,180.973999,181.940002,181.940002,0,GBPJPY
08/05/2015,184.315002,186.024994,184.149994,184.341995,184.341995,0,GBPJPY
11/05/2015,184.959,187.195999,184.606995,184.875,184.875,0,GBPJPY
12/05/2015,187.126007,188.320007,186.723999,187.100998,187.100998,0,GBPJPY
13/05/2015,187.759995,188.498001,187.037994,187.757996,187.757996,0,GBPJPY
14/05/2015,187.567001,188.513,187.373001,187.537003,187.537003,0,GBPJPY
15/05/2015,188.001007,188.598999,187.949997,187.970001,187.970001,0,GBPJPY
18/05/2015,187.830002,188.259995,187.332993,187.843002,187.843002,0,GBPJPY
19/05/2015,187.820007,187.949997,185.962006,187.781006,187.781006,0,GBPJPY
20/05/2015,187.173004,188.582001,187.139008,187.179993,187.179993,0,GBPJPY
21/05/2015,188.332993,189.968994,187.947006,188.369995,188.369995,0,GBPJPY
22/05/2015,189.541,189.632004,188.005997,189.548004,189.548004,0,GBPJPY
25/05/2015,188.070007,188.572006,187.789993,188.089996,188.089996,0,GBPJPY
26/05/2015,188.186005,189.619995,187.869995,188.080002,188.080002,0,GBPJPY
27/05/2015,189.300003,190.307007,189.25,189.330002,189.330002,0,GBPJPY
28/05/2015,189.871994,190.669998,189.580002,189.910004,189.910004,0,GBPJPY
29/05/2015,189.660004,189.988007,188.703003,189.692001,189.692001,0,GBPJPY
01/06/2015,189.916,189.960007,188.520004,189.848007,189.848007,0,GBPJPY
02/06/2015,189.753998,190.459,189.130005,189.710007,189.710007,0,GBPJPY
03/06/2015,190.248001,190.783997,189.688004,190.248993,190.248993,0,GBPJPY
04/06/2015,190.518005,191.533997,189.837006,190.513,190.513,0,GBPJPY
05/06/2015,191.048996,191.671997,190.787994,191.070007,191.070007,0,GBPJPY
08/06/2015,191.690002,191.75,190.660004,191.740005,191.740005,0,GBPJPY
09/06/2015,191.130005,191.255005,189.529999,191.115997,191.115997,0,GBPJPY
10/06/2015,191.369995,191.589996,189.005005,191.350998,191.350998,0,GBPJPY
11/06/2015,190.505997,191.860001,190.380005,190.412994,190.412994,0,GBPJPY
12/06/2015,191.755997,192.177994,191.279007,191.669998,191.669998,0,GBPJPY
15/06/2015,191.910004,192.108994,191.399994,191.843002,191.843002,0,GBPJPY
16/06/2015,192.479996,193.130005,192.078995,192.449997,192.449997,0,GBPJPY
17/06/2015,193.048004,195.270004,192.940002,192.996994,192.996994,0,GBPJPY
18/06/2015,195.794998,195.794998,194.339996,195.742004,195.742004,0,GBPJPY
19/06/2015,195.330002,195.453003,194.740005,195.270004,195.270004,0,GBPJPY
22/06/2015,194.869995,195.548996,194.641006,194.850006,194.850006,0,GBPJPY
23/06/2015,195.313004,195.477005,194.779999,195.274994,195.274994,0,GBPJPY
24/06/2015,194.929993,195.839996,194.789993,194.899994,194.899994,0,GBPJPY
25/06/2015,194.509995,194.740997,193.470001,194.509995,194.509995,0,GBPJPY
26/06/2015,194.580002,195.210007,193.960007,194.589996,194.589996,0,GBPJPY
29/06/2015,192.179001,193.501007,192.179001,192.389999,192.389999,0,GBPJPY
30/06/2015,192.979996,192.979996,191.820007,192.899994,192.899994,0,GBPJPY
01/07/2015,191.990997,192.785004,191.917007,191.955994,191.955994,0,GBPJPY
02/07/2015,192.414993,192.910004,192.016006,192.419998,192.419998,0,GBPJPY
03/07/2015,192.050003,192.382996,190.899994,192.070007,192.070007,0,GBPJPY
06/07/2015,190.356003,191.557999,190.089996,190.363998,190.363998,0,GBPJPY
07/07/2015,191.309998,191.470001,188.240005,191.244995,191.244995,0,GBPJPY
08/07/2015,189.436005,189.436005,185.009995,189.380005,189.380005,0,GBPJPY
09/07/2015,185.759995,187.328003,185.240005,185.720001,185.720001,0,GBPJPY
10/07/2015,187.050995,190.356003,186.794998,187.029999,187.029999,0,GBPJPY
13/07/2015,190.033997,192.313004,189.781998,190.026993,190.026993,0,GBPJPY
14/07/2015,191.313995,192.472,190.589996,191.300003,191.300003,0,GBPJPY
15/07/2015,192.809998,193.628998,192.660004,192.794998,192.794998,0,GBPJPY
