Date,Open,High,Low,Close,Adj Close,Volume,Epic
02/03/2015,0.778755,0.77997,0.775855,0.778574,0.778574,0,AUDUSD
03/03/2015,0.775735,0.784461,0.775374,0.775675,0.775675,0,AUDUSD
04/03/2015,0.781983,0.785978,0.780701,0.782044,0.782044,0,AUDUSD
05/03/2015,0.782473,0.784129,0.777001,0.78235,0.78235,0,AUDUSD
06/03/2015,0.778695,0.784437,0.771665,0.778513,0.778513,0,AUDUSD
09/03/2015,0.772082,0.773994,0.768758,0.77226,0.77226,0,AUDUSD
10/03/2015,0.768403,0.768521,0.761383,0.768521,0.768521,0,AUDUSD
11/03/2015,0.764059,0.764526,0.756315,0.764175,0.764175,0,AUDUSD
12/03/2015,0.760341,0.772798,0.757518,0.760572,0.760572,0,AUDUSD
13/03/2015,0.770594,0.770772,0.761093,0.770653,0.770653,0,AUDUSD
16/03/2015,0.761847,0.768108,0.761847,0.761615,0.761615,0,AUDUSD
17/03/2015,0.764351,0.766577,0.761499,0.764409,0.764409,0,AUDUSD
18/03/2015,0.762137,0.765404,0.759301,0.762311,0.762311,0,AUDUSD
19/03/2015,0.777726,0.780884,0.761847,0.777847,0.777847,0,AUDUSD
20/03/2015,0.766225,0.776277,0.765052,0.765814,0.765814,0,AUDUSD
23/03/2015,0.778392,0.785299,0.776578,0.778392,0.778392,0,AUDUSD
24/03/2015,0.787588,0.793714,0.784314,0.787526,0.787526,0,AUDUSD
25/03/2015,0.786473,0.790264,0.784437,0.786287,0.786287,0,AUDUSD
26/03/2015,0.783208,0.788519,0.780153,0.783024,0.783024,0,AUDUSD
27/03/2015,0.783024,0.783392,0.775254,0.783392,0.783392,0,AUDUSD
30/03/2015,0.773575,0.773994,0.763417,0.773455,0.773455,0,AUDUSD
31/03/2015,0.765568,0.766284,0.759244,0.765814,0.765814,0,AUDUSD
01/04/2015,0.761789,0.766166,0.75861,0.761383,0.761383,0,AUDUSD
02/04/2015,0.760456,0.760688,0.753523,0.760688,0.760688,0,AUDUSD
03/04/2015,0.758208,0.768817,0.757289,0.758208,0.758208,0,AUDUSD
06/04/2015,0.764117,0.766695,0.761093,0.764409,0.764409,0,AUDUSD
07/04/2015,0.759025,0.771248,0.757863,0.759013,0.759013,0,AUDUSD
08/04/2015,0.763942,0.772678,0.763884,0.764292,0.764292,0,AUDUSD
09/04/2015,0.768403,0.773994,0.766225,0.768462,0.768462,0,AUDUSD
10/04/2015,0.770416,0.77232,0.764,0.770416,0.770416,0,AUDUSD
