Date,Open,High,Low,Close,Adj Close,Volume,Epic
28/04/2015,129.578003,130.604996,129.356003,129.559998,129.559998,0,EURJPY
29/04/2015,130.369995,132.834,130.259003,130.309006,130.309006,0,EURJPY
30/04/2015,132.210999,134.220993,131.313995,132.199997,132.199997,0,EURJPY
01/05/2015,133.957001,135.220001,133.957001,133.957993,133.957993,0,EURJPY
04/05/2015,134.403,134.667999,133.710007,134.376999,134.376999,0,EURJPY
05/05/2015,133.901001,134.460007,133.126007,133.889999,133.889999,0,EURJPY
06/05/2015,134.112,135.647003,134.072998,134.130005,134.130005,0,EURJPY
07/05/2015,135.375,135.949997,134.222,135.410004,135.410004,0,EURJPY
08/05/2015,134.608002,135.199997,134.121002,134.610001,134.610001,0,EURJPY
11/05/2015,134.117996,134.190002,133.490997,134.089996,134.089996,0,EURJPY
12/05/2015,133.858994,135.268997,133.766006,133.876999,133.876999,0,EURJPY
13/05/2015,134.425995,135.479996,134.235001,134.460007,134.460007,0,EURJPY
14/05/2015,135.259003,136.404007,135.218002,135.240005,135.240005,0,EURJPY
15/05/2015,135.899994,136.557007,135.722,135.901001,135.901001,0,EURJPY
18/05/2015,136.574005,136.927994,135.809998,136.563004,136.563004,0,EURJPY
19/05/2015,135.787003,135.819,133.940002,135.787994,135.787994,0,EURJPY
20/05/2015,134.455994,134.75,133.938995,134.468002,134.468002,0,EURJPY
21/05/2015,134.557999,135.315994,134.259995,134.544998,134.544998,0,EURJPY
22/05/2015,134.459,135.307007,133.720993,134.479996,134.479996,0,EURJPY
25/05/2015,133.600006,133.802994,133.229996,133.610992,133.610992,0,EURJPY
26/05/2015,133.419998,134.453995,133.098999,133.389999,133.389999,0,EURJPY
27/05/2015,133.906998,134.888,133.796997,133.869003,133.869003,0,EURJPY
28/05/2015,134.809998,135.837006,134.738998,134.848007,134.848007,0,EURJPY
29/05/2015,135.690002,136.320999,135.417999,135.709,135.709,0,EURJPY
01/06/2015,136.121002,136.136993,135.158005,136.072006,136.072006,0,EURJPY
02/06/2015,136.391006,138.613007,136.100006,136.330002,136.330002,0,EURJPY
03/06/2015,138.304001,140.039993,138.080002,138.278,138.278,0,EURJPY
04/06/2015,139.962997,141.029999,139.565994,139.923996,139.923996,0,EURJPY
05/06/2015,139.395004,140.673996,139.042999,139.401993,139.401993,0,EURJPY
08/06/2015,139.472,140.528,139.046005,139.518997,139.518997,0,EURJPY
09/06/2015,140.524994,140.977997,139.391006,140.509003,140.509003,0,EURJPY
10/06/2015,140.470001,140.651993,138.438995,140.438004,140.438004,0,EURJPY
11/06/2015,139.009995,139.492004,138.559998,138.960007,138.960007,0,EURJPY
12/06/2015,138.983002,139.179001,138.007996,138.934006,138.934006,0,EURJPY
15/06/2015,138.369995,139.070007,138.179001,138.309006,138.309006,0,EURJPY
16/06/2015,139.160004,139.983002,138.309998,139.147995,139.147995,0,EURJPY
